name,type,zone,value
uztwm,sac,GETT2-1,22
uzfwm,sac,GETT2-1,73.273341801485
lztwm,sac,GETT2-1,169
lzfpm,sac,GETT2-1,36
lzfsm,sac,GETT2-1,15
adimp,sac,GETT2-1,0.3
uzk,sac,GETT2-1,0.4899901331858996
lzpk,sac,GETT2-1,0.024232845302246318
lzsk,sac,GETT2-1,0.11006794069213742
zperc,sac,GETT2-1,72
rexp,sac,GETT2-1,2.057311074657807
pctim,sac,GETT2-1,0.0
pfree,sac,GETT2-1,0.03384176799521899
riva,sac,GETT2-1,0.001
side,sac,GETT2-1,0
rserv,sac,GETT2-1,0.01
peadj,sac,GETT2-1,1.0
pxadj,sac,GETT2-1,1
peadj_10,sac,GETT2-1,1.0
peadj_11,sac,GETT2-1,1.0
peadj_12,sac,GETT2-1,1.0
peadj_01,sac,GETT2-1,1.0
peadj_02,sac,GETT2-1,1.0
peadj_03,sac,GETT2-1,1.0
peadj_04,sac,GETT2-1,1.0
peadj_05,sac,GETT2-1,1.0
peadj_06,sac,GETT2-1,1.0
peadj_07,sac,GETT2-1,1.0
peadj_08,sac,GETT2-1,1.0
peadj_09,sac,GETT2-1,1.0
efc,sac,GETT2-1,0.0
zone_area,uh,GETT2-1,132.5
duration,uh,GETT2-1,6
interval,uh,GETT2-1,6
baseflow,uh,GETT2-1,0.0
unit_ord_1,uh,GETT2-1,5802.46
unit_ord_2,uh,GETT2-1,6761.37
unit_ord_3,uh,GETT2-1,1657.04
unit_ord_4,uh,GETT2-1,34.80
unit_ord_5,uh,GETT2-1,0.0
unit_ord_6,uh,GETT2-1,0.0
unit_ord_7,uh,GETT2-1,0.0
unit_ord_8,uh,GETT2-1,0.0
n_clmods,chanloss,GETT2,0
etd_01,et,GETT2-1,0.98
etd_02,et,GETT2-1,0.98
etd_03,et,GETT2-1,1.0
etd_04,et,GETT2-1,1.06
etd_05,et,GETT2-1,1.17
etd_06,et,GETT2-1,1.29
etd_07,et,GETT2-1,1.54
etd_08,et,GETT2-1,1.82
etd_09,et,GETT2-1,1.81
etd_10,et,GETT2-1,1.62
etd_11,et,GETT2-1,1.22
etd_12,et,GETT2-1,1.02
